0.5967,0.5972,0.5989,0.6089,0.6098,0.4644,0.6098,0.6098,0.4644,0.4644,0.6138,0.6089,0.6089,0.6084,0.6084,0.5400,0.6834,0.5790,0.3737,0.5664,0.5801,0.5806,0.5806,0.5758,0.3787,0.5423,0.3787,0.5389,0.5393,0.5401
0.5897,0.5925,0.5941,0.5129,0.4514,0.4524,0.5978,0.5978,0.5978,0.5978,0.5978,0.5076,0.6050,0.4596,0.5236,0.5224,0.5400,0.5500,0.5601,0.4371,0.3725,0.5853,0.3937,0.5812,0.3845,0.4292,0.4249,0.5407,0.3675,0.5387
0.4659,0.5925,0.4910,0.4354,0.5967,0.5972,0.5962,0.5962,0.4399,0.5000,0.5943,0.5978,0.4476,0.5930,0.4476,0.6050,0.6089,0.4244,0.5500,0.4434,0.5652,0.3725,0.4571,0.5858,0.5710,0.5637,0.3786,0.3744,0.4269,0.3496
0.4521,0.4551,0.4460,0.4414,0.4330,0.5846,0.4364,0.5861,0.5856,0.5856,0.5918,0.6007,0.4399,0.5881,0.4476,0.4476,0.6050,0.5505,0.3594,0.3594,0.5946,0.5652,0.3737,0.4371,0.4469,0.3937,0.3793,0.3795,0.5687,0.5387
0.5130,0.4572,0.5977,0.4869,0.5821,0.4157,0.4176,0.5681,0.5681,0.5857,0.5861,0.4900,0.5918,0.5000,0.4312,0.4476,0.5626,0.5626,0.4376,0.5500,0.5500,0.3594,0.4051,0.5658,0.3737,0.3737,0.5757,0.5722,0.5770,0.4402
0.6167,0.4520,0.6057,0.4108,0.4465,0.4112,0.5502,0.4099,0.4594,0.4071,0.4186,0.5861,0.5856,0.5999,0.5962,0.5978,0.5626,0.3726,0.5626,0.5621,0.5500,0.5500,0.3594,0.3606,0.5505,0.5556,0.3737,0.5482,0.5447,0.5741
0.6251,0.6111,0.5032,0.4138,0.5640,0.4493,0.5571,0.5598,0.4143,0.5574,0.4159,0.4359,0.4905,0.4420,0.5000,0.5929,0.3775,0.3775,0.5626,0.5621,0.3715,0.4313,0.5621,0.4244,0.5505,0.3606,0.3606,0.3737,0.5556,0.5757
0.6343,0.4558,0.6107,0.5884,0.5718,0.4671,0.4504,0.4103,0.4112,0.5521,0.5672,0.4364,0.5856,0.4442,0.5962,0.4524,0.3775,0.3775,0.5674,0.5669,0.5621,0.5569,0.5632,0.3664,0.5500,0.5500,0.5935,0.5658,0.4371,0.4469
0.6387,0.4620,0.5069,0.6111,0.6104,0.5884,0.5758,0.4581,0.4135,0.4354,0.5833,0.4905,0.4430,0.5962,0.4360,0.5978,0.5755,0.5695,0.5674,0.5669,0.4364,0.4376,0.3727,0.3727,0.3606,0.5448,0.3867,0.5652,0.5652,0.5858
0.5119,0.4599,0.4666,0.6251,0.6114,0.4522,0.4525,0.6061,0.5977,0.5819,0.5881,0.4438,0.5967,0.5920,0.5978,0.5978,0.5755,0.5695,0.5669,0.3763,0.5569,0.4376,0.5632,0.5632,0.4255,0.3606,0.5790,0.3674,0.5652,0.3926
